Number: 128, Steps: 7
Number: 934, Steps: 85
Number: 503, Steps: 66
Number: 390, Steps: 120
Number: 61, Steps: 19
Number: 874, Steps: 116
Number: 266, Steps: 29
Number: 554, Steps: 17
Number: 45, Steps: 16
Number: 244, Steps: 21
Number: 254, Steps: 47
Number: 831, Steps: 134
Number: 30, Steps: 18
Number: 110, Steps: 113
Number: 640, Steps: 12
Number: 28, Steps: 18
Number: 737, Steps: 139
Number: 302, Steps: 16
Number: 153, Steps: 36
Number: 671, Steps: 95
Number: 791, Steps: 77
Number: 725, Steps: 20
Number: 663, Steps: 25
Number: 560, Steps: 17
Number: 111, Steps: 69
Number: 706, Steps: 126
Number: 167, Steps: 67
Number: 351, Steps: 81
Number: 959, Steps: 129
Number: 819, Steps: 41
Number: 602, Steps: 17
Number: 647, Steps: 38
Number: 647, Steps: 38
Number: 197, Steps: 26
Number: 808, Steps: 28
Number: 531, Steps: 123
Number: 52, Steps: 11
Number: 929, Steps: 129
Number: 321, Steps: 24
Number: 205, Steps: 26
Number: 292, Steps: 117
Number: 265, Steps: 122
Number: 909, Steps: 15
Number: 760, Steps: 108
Number: 125, Steps: 108
Number: 272, Steps: 16
Number: 84, Steps: 9
Number: 905, Steps: 67
Number: 827, Steps: 41
Number: 94, Steps: 105
Number: 194, Steps: 119
Number: 720, Steps: 20
Number: 755, Steps: 64
Number: 2, Steps: 1
Number: 479, Steps: 53
Number: 665, Steps: 51
Number: 30, Steps: 18
Number: 461, Steps: 35
Number: 431, Steps: 40
Number: 867, Steps: 28
Number: 794, Steps: 28
Number: 455, Steps: 40
Number: 449, Steps: 115
Number: 890, Steps: 72
Number: 507, Steps: 35
Number: 642, Steps: 25
Number: 737, Steps: 139
Number: 486, Steps: 97
Number: 70, Steps: 14
Number: 686, Steps: 126
Number: 881, Steps: 116
Number: 479, Steps: 53
Number: 279, Steps: 42
Number: 763, Steps: 152
Number: 443, Steps: 53
Number: 799, Steps: 72
Number: 150, Steps: 15
Number: 381, Steps: 107
Number: 319, Steps: 55
Number: 357, Steps: 32
Number: 218, Steps: 114
Number: 336, Steps: 11
Number: 351, Steps: 81
Number: 869, Steps: 28
Number: 589, Steps: 118
Number: 84, Steps: 9
Number: 952, Steps: 36
Number: 546, Steps: 30
Number: 538, Steps: 30
Number: 601, Steps: 56
Number: 423, Steps: 32
Number: 546, Steps: 30
Number: 646, Steps: 100
Number: 129, Steps: 121
Number: 86, Steps: 30
Number: 853, Steps: 15
Number: 228, Steps: 34
Number: 708, Steps: 33
Number: 488, Steps: 22
Number: 733, Steps: 95
